etnia_agrupada,n,n_expandido,media_part_pond,pct_participa
Quechua,13927,4387513,0.703,54.7
Aimara,1902,500944,0.628,53
Otras lenguas nativas,1145,156372,0.397,33.9
Otra,300,93599,0.366,28.6
Castellano,58948,20093870,0.254,21.1
